model,layer,depth_index,C_in,C_out,k,d,r_max,n_samples,n_over_d,kernel_erank_over_rmax,kernel_cond_top_rmax,data_erank_over_rmax,out_0.9,kernel_0.9,data_0.9,ortho_0.9,out_0.95,kernel_0.95,data_0.95,ortho_0.95,out_0.99,kernel_0.99,data_0.99,ortho_0.99,out_0.999,kernel_0.999,data_0.999,ortho_0.999
timm:densenet121.tv_in1k,features.denseblock4.denselayer5.conv2,97,128,32,9,1152,32,307200,266.6666666666667,0.9344110626632312,2.0329881244208012,1.0,0.8125,0.84375,1.0,0.84375,0.90625,0.90625,1.0,0.9375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
timm:densenet121.tv_in1k,features.denseblock4.denselayer6.conv1,98,672,128,1,672,128,307200,457.14285714285717,0.7619989322405399,6.174885044804947,1.0,0.5,0.703125,1.0,0.734375,0.65625,0.8203125,1.0,0.859375,0.8828125,0.953125,1.0,0.96875,0.984375,1.0,1.0,1.0
timm:densenet121.tv_in1k,features.denseblock4.denselayer6.conv2,99,128,32,9,1152,32,307200,266.6666666666667,0.7068248615931746,4.404906752395834,1.0,0.71875,0.8125,1.0,0.84375,0.84375,0.90625,1.0,0.9375,0.96875,1.0,1.0,1.0,1.0,1.0,1.0,1.0
timm:densenet121.tv_in1k,features.denseblock4.denselayer7.conv1,100,704,128,1,704,128,307200,436.3636363636364,0.7840372194764622,797408.7800109466,1.0,0.5390625,0.703125,1.0,0.7578125,0.6875,0.8203125,1.0,0.8671875,0.890625,0.9453125,1.0,0.9765625,0.9765625,0.984375,1.0,1.0
timm:densenet121.tv_in1k,features.denseblock4.denselayer7.conv2,101,128,32,9,1152,32,307200,266.6666666666667,0.9401643031093315,1.9185891029444007,1.0,0.8125,0.84375,1.0,0.875,0.90625,0.90625,1.0,0.9375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
timm:densenet121.tv_in1k,features.denseblock4.denselayer8.conv1,102,736,128,1,736,128,307200,417.39130434782606,0.7894077807138147,5.24260931515295,1.0,0.5390625,0.71875,1.0,0.7578125,0.6953125,0.8359375,1.0,0.8671875,0.90625,0.9609375,1.0,0.9765625,0.9921875,1.0,1.0,1.0
timm:densenet121.tv_in1k,features.denseblock4.denselayer8.conv2,103,128,32,9,1152,32,307200,266.6666666666667,0.9097753930910984,2.458765919942501,1.0,0.78125,0.84375,1.0,0.84375,0.875,0.90625,1.0,0.9375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
timm:densenet121.tv_in1k,features.denseblock4.denselayer9.conv1,104,768,128,1,768,128,307200,400.0,0.7872703026698052,5.277573442042265,1.0,0.546875,0.7109375,1.0,0.7578125,0.6953125,0.828125,1.0,0.875,0.90625,0.9609375,1.0,0.9765625,0.9921875,1.0,1.0,1.0
timm:densenet121.tv_in1k,features.denseblock4.denselayer9.conv2,105,128,32,9,1152,32,307200,266.6666666666667,0.9497039729228552,1.9078591527893165,1.0,0.8125,0.84375,1.0,0.84375,0.90625,0.9375,1.0,0.9375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
timm:densenet121.tv_in1k,features.denseblock4.denselayer10.conv1,106,800,128,1,800,128,307200,384.0,0.7845700091865936,5.3063012012289,1.0,0.5390625,0.7109375,1.0,0.7578125,0.6875,0.828125,1.0,0.8671875,0.90625,0.953125,1.0,0.9765625,0.9921875,1.0,1.0,1.0
timm:densenet121.tv_in1k,features.denseblock4.denselayer10.conv2,107,128,32,9,1152,32,307200,266.6666666666667,0.9534038935680486,1.8029600178904281,1.0,0.8125,0.84375,1.0,0.875,0.90625,0.9375,1.0,0.9375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
timm:densenet121.tv_in1k,features.denseblock4.denselayer11.conv1,108,832,128,1,832,128,307200,369.2307692307692,0.7919113443590433,5.177624638930798,1.0,0.5390625,0.7109375,1.0,0.7578125,0.6875,0.828125,1.0,0.875,0.90625,0.9609375,1.0,0.9765625,0.9921875,1.0,1.0,1.0
timm:densenet121.tv_in1k,features.denseblock4.denselayer11.conv2,109,128,32,9,1152,32,307200,266.6666666666667,0.9511189223670248,1.781878499444483,1.0,0.8125,0.84375,1.0,0.84375,0.90625,0.9375,1.0,0.9375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
timm:densenet121.tv_in1k,features.denseblock4.denselayer12.conv1,110,864,128,1,864,128,307200,355.55555555555554,0.7948489287113825,5.045477502482007,1.0,0.546875,0.71875,1.0,0.7578125,0.6953125,0.828125,1.0,0.875,0.90625,0.9609375,1.0,0.9765625,0.9921875,1.0,1.0,1.0
timm:densenet121.tv_in1k,features.denseblock4.denselayer12.conv2,111,128,32,9,1152,32,307200,266.6666666666667,0.9501511295392399,1.8861003915219183,1.0,0.8125,0.84375,1.0,0.84375,0.90625,0.9375,1.0,0.9375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
timm:densenet121.tv_in1k,features.denseblock4.denselayer13.conv1,112,896,128,1,896,128,307200,342.85714285714283,0.7857136417597622,5.401651980775269,1.0,0.5390625,0.7109375,1.0,0.7578125,0.6875,0.828125,1.0,0.8671875,0.90625,0.9609375,1.0,0.9765625,0.9921875,1.0,1.0,1.0
timm:densenet121.tv_in1k,features.denseblock4.denselayer13.conv2,113,128,32,9,1152,32,307200,266.6666666666667,0.9492117060825123,1.8264486002993077,1.0,0.8125,0.84375,1.0,0.84375,0.90625,0.90625,1.0,0.9375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
timm:densenet121.tv_in1k,features.denseblock4.denselayer14.conv1,114,928,128,1,928,128,307200,331.0344827586207,0.7988282554854124,5.134689703754545,1.0,0.546875,0.71875,1.0,0.7578125,0.703125,0.8359375,1.0,0.875,0.90625,0.9609375,1.0,0.9765625,0.9921875,1.0,1.0,1.0
timm:densenet121.tv_in1k,features.denseblock4.denselayer14.conv2,115,128,32,9,1152,32,307200,266.6666666666667,0.9500944311837503,1.8452086054322767,1.0,0.8125,0.84375,1.0,0.84375,0.90625,0.90625,1.0,0.9375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
timm:densenet121.tv_in1k,features.denseblock4.denselayer15.conv1,116,960,128,1,960,128,307200,320.0,0.792531739142702,5.54218987402202,1.0,0.5390625,0.71875,1.0,0.7578125,0.6953125,0.8359375,1.0,0.875,0.90625,0.9609375,1.0,0.9765625,0.9921875,1.0,1.0,1.0
timm:densenet121.tv_in1k,features.denseblock4.denselayer15.conv2,117,128,32,9,1152,32,307200,266.6666666666667,0.950179568515601,1.8656965760600706,1.0,0.8125,0.84375,1.0,0.84375,0.90625,0.9375,1.0,0.9375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
timm:densenet121.tv_in1k,features.denseblock4.denselayer16.conv1,118,992,128,1,992,128,307200,309.6774193548387,0.8036991453534152,5.020201338175422,1.0,0.5390625,0.7265625,1.0,0.7578125,0.6953125,0.8359375,1.0,0.8671875,0.90625,0.9609375,1.0,0.9765625,0.9921875,1.0,1.0,1.0
timm:densenet121.tv_in1k,features.denseblock4.denselayer16.conv2,119,128,32,9,1152,32,307200,266.6666666666667,0.9368474788105728,2.026682976665734,1.0,0.8125,0.84375,1.0,0.84375,0.90625,0.90625,1.0,0.9375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
