model,layer,depth_index,C_in,C_out,k,d,r_max,n_samples,n_over_d,kernel_erank_over_rmax,kernel_cond_top_rmax,data_erank_over_rmax,out_0.9,kernel_0.9,data_0.9,ortho_0.9,out_0.95,kernel_0.95,data_0.95,ortho_0.95,out_0.99,kernel_0.99,data_0.99,ortho_0.99,out_0.999,kernel_0.999,data_0.999,ortho_0.999
resnet50_random,layer3.5.conv3,42,256,1024,1,256,256,307200,1200.0,0.8826464923571704,2.883156730023887,0.028630432817422665,0.046875,0.76171875,0.04296875,0.04296875,0.13671875,0.86328125,0.13671875,0.13671875,0.41015625,0.96875,0.4296875,0.4296875,0.6484375,1.0,0.6640625,0.6640625
resnet50_random,layer4.0.conv1,43,1024,512,1,1024,512,307200,300.0,0.778049743562015,5.647048912057789,0.01369336808092172,0.0234375,0.6640625,0.0234375,0.0234375,0.080078125,0.77734375,0.09375,0.08984375,0.33203125,0.927734375,0.490234375,0.390625,0.7265625,0.990234375,1.0,0.82421875
resnet50_random,layer4.0.conv2,44,512,512,9,4608,512,307200,66.66666666666667,0.9462569322361539,1.9714273230015564,0.013003798332723386,0.015625,0.82421875,0.013671875,0.015625,0.0859375,0.904296875,0.087890625,0.083984375,0.52734375,0.98046875,1.0,0.55078125,0.908203125,0.998046875,1.0,0.921875
resnet50_random,layer4.0.conv3,45,512,2048,1,512,512,307200,600.0,0.8830885860419297,2.949860432008682,0.014123497984092756,0.021484375,0.763671875,0.021484375,0.021484375,0.09375,0.861328125,0.095703125,0.095703125,0.375,0.966796875,0.3984375,0.3984375,0.62109375,0.998046875,0.634765625,0.634765625
resnet50_random,layer4.0.downsample.0,46,1024,2048,1,1024,1024,307200,300.0,0.7787545733396075,5.626617966337916,0.005215456225594533,0.0087890625,0.6640625,0.0078125,0.0078125,0.0390625,0.77734375,0.0361328125,0.0361328125,0.205078125,0.9267578125,0.216796875,0.216796875,0.55859375,0.990234375,0.62109375,0.62109375
resnet50_random,layer4.1.conv1,47,2048,512,1,2048,512,307200,150.0,0.8822182403084862,2.9960298917042993,0.013082720605745172,0.021484375,0.76171875,0.021484375,0.0234375,0.09765625,0.861328125,0.12109375,0.10546875,0.423828125,0.966796875,0.751953125,0.466796875,0.828125,0.99609375,1.0,0.87109375
resnet50_random,layer4.1.conv2,48,512,512,9,4608,512,307200,66.66666666666667,0.946184216936967,1.9837020117012658,0.017429003977102536,0.017578125,0.82421875,0.017578125,0.017578125,0.076171875,0.904296875,0.095703125,0.07421875,0.548828125,0.98046875,1.0,0.578125,0.919921875,0.998046875,1.0,0.93359375
resnet50_random,layer4.1.conv3,49,512,2048,1,512,512,307200,600.0,0.8819829648165267,2.9714537237118965,0.01745112386514981,0.021484375,0.76171875,0.021484375,0.021484375,0.083984375,0.861328125,0.08984375,0.08984375,0.39453125,0.966796875,0.427734375,0.427734375,0.693359375,0.998046875,0.71484375,0.71484375
resnet50_random,layer4.2.conv1,50,2048,512,1,2048,512,307200,150.0,0.8825036050886823,2.970924094215033,0.016350316039209327,0.021484375,0.76171875,0.0234375,0.0234375,0.087890625,0.861328125,0.125,0.09765625,0.439453125,0.966796875,0.880859375,0.48828125,0.84765625,0.998046875,1.0,0.890625
resnet50_random,layer4.2.conv2,51,512,512,9,4608,512,307200,66.66666666666667,0.9458023704916939,1.9921184232942588,0.018482434079134278,0.01953125,0.822265625,0.01953125,0.01953125,0.068359375,0.904296875,0.076171875,0.06640625,0.52734375,0.98046875,1.0,0.5546875,0.9140625,0.998046875,1.0,0.927734375
resnet50_random,layer4.2.conv3,52,512,2048,1,512,512,307200,600.0,0.8826632653640126,2.9768863997368435,0.020017301738797896,0.025390625,0.76171875,0.025390625,0.025390625,0.09375,0.861328125,0.09375,0.09375,0.41796875,0.966796875,0.447265625,0.447265625,0.71484375,0.998046875,0.734375,0.734375
