model,scheme,site,C,m,subspace_resid,cssp_resid
timm:resnet50.tv2_in1k,tau_0.95,layer4.0.bn2,512,424,0.04987077077702408,0.07765635495425378
timm:resnet50.tv2_in1k,tau_0.95,layer4.1.bn1,512,409,0.04977915144022779,0.07707127099501737
timm:resnet50.tv2_in1k,tau_0.95,layer4.1.bn2,512,431,0.049444584037571626,0.06858329357353843
timm:resnet50.tv2_in1k,tau_0.95,layer4.2.bn1,512,402,0.049566495410744066,0.06868694107911778
timm:resnet50.tv2_in1k,tau_0.95,layer4.2.bn2,512,392,0.049711804230157204,0.06582241814495707
timm:resnet50.tv2_in1k,eps_0.001,layer1.0.bn1,64,62,0.0005063334395406943,0.0007262961011697089
timm:resnet50.tv2_in1k,eps_0.001,layer1.0.bn2,64,57,0.0007908918492629792,0.0009600375372565838
timm:resnet50.tv2_in1k,eps_0.001,layer1.1.bn1,64,61,0.0006743932410431755,0.0006768398172880562
timm:resnet50.tv2_in1k,eps_0.001,layer1.1.bn2,64,62,0.0007350977242720666,0.0007362708308235363
timm:resnet50.tv2_in1k,eps_0.001,layer1.2.bn1,64,63,4.271251105660092e-05,4.2713279543360644e-05
timm:resnet50.tv2_in1k,eps_0.001,layer1.2.bn2,64,63,5.4376103268552024e-05,5.4379665124427095e-05
timm:resnet50.tv2_in1k,eps_0.001,layer2.0.bn1,128,128,0.0,0.0
timm:resnet50.tv2_in1k,eps_0.001,layer2.0.bn2,128,127,0.0004958316546721542,0.0005350088845663911
timm:resnet50.tv2_in1k,eps_0.001,layer2.1.bn1,128,124,0.0006417247670016078,0.0008650767858861788
timm:resnet50.tv2_in1k,eps_0.001,layer2.1.bn2,128,125,0.0007775644742009837,0.0009732308285267864
timm:resnet50.tv2_in1k,eps_0.001,layer2.2.bn1,128,124,0.0008474397928018687,0.0008870430138620981
timm:resnet50.tv2_in1k,eps_0.001,layer2.2.bn2,128,123,0.0008601049233348583,0.0009019273907427371
timm:resnet50.tv2_in1k,eps_0.001,layer2.3.bn1,128,126,0.00034840347873042233,0.00040183241167127186
timm:resnet50.tv2_in1k,eps_0.001,layer2.3.bn2,128,126,0.0006448804750920189,0.0007166780011097995
timm:resnet50.tv2_in1k,eps_0.001,layer3.0.bn1,256,254,0.0005859973051593173,0.0006760715653980761
timm:resnet50.tv2_in1k,eps_0.001,layer3.0.bn2,256,254,0.0005253503665158324,0.0008029339425570719
timm:resnet50.tv2_in1k,eps_0.001,layer3.1.bn1,256,248,0.0005809399212030067,0.0007598379917584448
timm:resnet50.tv2_in1k,eps_0.001,layer3.1.bn2,256,249,0.0007559573545291828,0.0008290940435238448
timm:resnet50.tv2_in1k,eps_0.001,layer3.2.bn1,256,249,0.0009270068422787851,0.000993635680177922
timm:resnet50.tv2_in1k,eps_0.001,layer3.2.bn2,256,250,0.0008377441507624895,0.0009153738083359083
timm:resnet50.tv2_in1k,eps_0.001,layer3.3.bn1,256,254,0.0005885360896641243,0.0006370777659994862
timm:resnet50.tv2_in1k,eps_0.001,layer3.3.bn2,256,252,0.0008115662905165244,0.0008392684796751343
timm:resnet50.tv2_in1k,eps_0.001,layer3.4.bn1,256,252,0.0008482602293767379,0.0009483413410504345
timm:resnet50.tv2_in1k,eps_0.001,layer3.4.bn2,256,253,0.0007640693281369073,0.0008101763686489485
timm:resnet50.tv2_in1k,eps_0.001,layer3.5.bn1,256,255,0.0003796467068715104,0.0005019095908281801
timm:resnet50.tv2_in1k,eps_0.001,layer3.5.bn2,256,255,0.000690104777637294,0.0007478690069592736
timm:resnet50.tv2_in1k,eps_0.001,layer4.0.bn1,512,511,0.0003926651215710684,0.0005464816594067142
timm:resnet50.tv2_in1k,eps_0.001,layer4.0.bn2,512,511,0.00045016398062449746,0.0005984272181381379
timm:resnet50.tv2_in1k,eps_0.001,layer4.1.bn1,512,507,0.0006125685558172281,0.0007973554613587187
timm:resnet50.tv2_in1k,eps_0.001,layer4.1.bn2,512,508,0.0007087291769648146,0.000802115711352929
timm:resnet50.tv2_in1k,eps_0.001,layer4.2.bn1,512,504,0.0008814101677498857,0.0009796975054099648
timm:resnet50.tv2_in1k,eps_0.001,layer4.2.bn2,512,507,0.0007664910924221027,0.0008024575435345906
timm:resnet50.tv2_in1k,eps_0.01,layer1.0.bn1,64,54,0.00678660993050611,0.009414223105675619
timm:resnet50.tv2_in1k,eps_0.01,layer1.0.bn2,64,45,0.006097718315084285,0.008899875880017285
timm:resnet50.tv2_in1k,eps_0.01,layer1.1.bn1,64,58,0.0057969351637254755,0.007963684173885769
timm:resnet50.tv2_in1k,eps_0.01,layer1.1.bn2,64,59,0.008270472801616777,0.009628174385259017
timm:resnet50.tv2_in1k,eps_0.01,layer1.2.bn1,64,60,0.005650390645181061,0.006162089981988277
timm:resnet50.tv2_in1k,eps_0.01,layer1.2.bn2,64,61,0.004861436596559423,0.007867111353609735
timm:resnet50.tv2_in1k,eps_0.01,layer2.0.bn1,128,123,0.006559320506543624,0.008831150629405555
timm:resnet50.tv2_in1k,eps_0.01,layer2.0.bn2,128,122,0.00591600040349354,0.008392207698576338
timm:resnet50.tv2_in1k,eps_0.01,layer2.1.bn1,128,112,0.006310521448354271,0.00963189654848994
timm:resnet50.tv2_in1k,eps_0.01,layer2.1.bn2,128,117,0.00782559363573139,0.008829419715212984
timm:resnet50.tv2_in1k,eps_0.01,layer2.2.bn1,128,115,0.007263207177872464,0.00875290275327498
timm:resnet50.tv2_in1k,eps_0.01,layer2.2.bn2,128,114,0.008505332828704717,0.009490066042049496
timm:resnet50.tv2_in1k,eps_0.01,layer2.3.bn1,128,121,0.004935509878134487,0.008239136652206918
timm:resnet50.tv2_in1k,eps_0.01,layer2.3.bn2,128,118,0.008393952574388542,0.009257055521951846
timm:resnet50.tv2_in1k,eps_0.01,layer3.0.bn1,256,246,0.005987504713833337,0.009064875314077939
timm:resnet50.tv2_in1k,eps_0.01,layer3.0.bn2,256,245,0.005141372902137735,0.009237689264541223
timm:resnet50.tv2_in1k,eps_0.01,layer3.1.bn1,256,235,0.005604932507714433,0.009294246390916907
timm:resnet50.tv2_in1k,eps_0.01,layer3.1.bn2,256,233,0.008080216468429186,0.009296080515508565
timm:resnet50.tv2_in1k,eps_0.01,layer3.2.bn1,256,236,0.008040974324774464,0.00991020760723542
