arm,seed,corruption,severity,acc
uniform,1,motion_blur,1,88.75
uniform,1,motion_blur,2,81.18
uniform,1,motion_blur,3,72.53
uniform,1,motion_blur,4,72.62
uniform,1,motion_blur,5,63.72
uniform,2,motion_blur,1,88.45
uniform,2,motion_blur,2,81.15
uniform,2,motion_blur,3,71.66
uniform,2,motion_blur,4,71.96
uniform,2,motion_blur,5,63.07
ruler95,0,motion_blur,1,85.82
ruler95,0,motion_blur,2,77.7
ruler95,0,motion_blur,3,69.15
ruler95,0,motion_blur,4,69.38
ruler95,0,motion_blur,5,61.62
ruler95,1,motion_blur,1,86.47
ruler95,1,motion_blur,2,78.89
ruler95,1,motion_blur,3,69.56
ruler95,1,motion_blur,4,69.87
ruler95,1,motion_blur,5,61.14
ruler95,2,motion_blur,1,85.96
ruler95,2,motion_blur,2,78.11
ruler95,2,motion_blur,3,68.7
ruler95,2,motion_blur,4,68.68
ruler95,2,motion_blur,5,60.68
full,0,zoom_blur,1,87.33
full,0,zoom_blur,2,84.36
full,0,zoom_blur,3,79.63
full,0,zoom_blur,4,74.66
full,0,zoom_blur,5,66.07
full,1,zoom_blur,1,87.35
full,1,zoom_blur,2,84.87
full,1,zoom_blur,3,80.28
full,1,zoom_blur,4,74.54
full,1,zoom_blur,5,66.06
full,2,zoom_blur,1,88.09
full,2,zoom_blur,2,85.66
full,2,zoom_blur,3,81.23
full,2,zoom_blur,4,76.03
full,2,zoom_blur,5,67.73
ruler,0,zoom_blur,1,86.76
ruler,0,zoom_blur,2,83.44
ruler,0,zoom_blur,3,78.7
ruler,0,zoom_blur,4,72.91
ruler,0,zoom_blur,5,64.41
ruler,1,zoom_blur,1,86.97
ruler,1,zoom_blur,2,83.74
ruler,1,zoom_blur,3,78.64
ruler,1,zoom_blur,4,73.32
ruler,1,zoom_blur,5,64.47
ruler,2,zoom_blur,1,86.69
ruler,2,zoom_blur,2,83.44
ruler,2,zoom_blur,3,77.94
ruler,2,zoom_blur,4,72.41
ruler,2,zoom_blur,5,63.73
ruler_act,0,zoom_blur,1,87.69
ruler_act,0,zoom_blur,2,84.76
ruler_act,0,zoom_blur,3,79.65
ruler_act,0,zoom_blur,4,73.98
ruler_act,0,zoom_blur,5,65.54
ruler_act,1,zoom_blur,1,87.02
ruler_act,1,zoom_blur,2,84.59
ruler_act,1,zoom_blur,3,79.53
ruler_act,1,zoom_blur,4,74.38
ruler_act,1,zoom_blur,5,66.19
ruler_act,2,zoom_blur,1,87.58
ruler_act,2,zoom_blur,2,85.06
ruler_act,2,zoom_blur,3,80.26
ruler_act,2,zoom_blur,4,75.08
ruler_act,2,zoom_blur,5,66.66
uniform,0,zoom_blur,1,85.49
uniform,0,zoom_blur,2,82.27
uniform,0,zoom_blur,3,76.94
uniform,0,zoom_blur,4,71.06
uniform,0,zoom_blur,5,62.04
uniform,1,zoom_blur,1,85.63
uniform,1,zoom_blur,2,82.52
uniform,1,zoom_blur,3,76.8
uniform,1,zoom_blur,4,71.2
uniform,1,zoom_blur,5,62.25
uniform,2,zoom_blur,1,85.59
uniform,2,zoom_blur,2,82.64
uniform,2,zoom_blur,3,77.03
uniform,2,zoom_blur,4,71.72
uniform,2,zoom_blur,5,62.9
ruler95,0,zoom_blur,1,83.7
ruler95,0,zoom_blur,2,80.55
ruler95,0,zoom_blur,3,75.13
ruler95,0,zoom_blur,4,70.18
ruler95,0,zoom_blur,5,61.98
ruler95,1,zoom_blur,1,83.68
ruler95,1,zoom_blur,2,80.09
ruler95,1,zoom_blur,3,75.11
ruler95,1,zoom_blur,4,69.87
ruler95,1,zoom_blur,5,61.68
ruler95,2,zoom_blur,1,83.46
ruler95,2,zoom_blur,2,80.17
ruler95,2,zoom_blur,3,74.9
ruler95,2,zoom_blur,4,69.42
ruler95,2,zoom_blur,5,61.38
full,0,snow,1,88.43
full,0,snow,2,81.44
full,0,snow,3,83.27
full,0,snow,4,81.15
full,0,snow,5,77.66
full,1,snow,1,89.07
full,1,snow,2,81.59
full,1,snow,3,83.22
full,1,snow,4,81.14
full,1,snow,5,77.57
full,2,snow,1,88.89
full,2,snow,2,80.93
full,2,snow,3,82.98
full,2,snow,4,81.13
full,2,snow,5,77.99
ruler,0,snow,1,88.2
ruler,0,snow,2,81.45
ruler,0,snow,3,83.09
ruler,0,snow,4,81.48
ruler,0,snow,5,78.22
ruler,1,snow,1,87.78
ruler,1,snow,2,80.35
ruler,1,snow,3,82.14
ruler,1,snow,4,80.39
ruler,1,snow,5,77.0
ruler,2,snow,1,88.35
ruler,2,snow,2,80.1
ruler,2,snow,3,82.67
ruler,2,snow,4,81.18
ruler,2,snow,5,77.46
ruler_act,0,snow,1,88.72
ruler_act,0,snow,2,81.33
ruler_act,0,snow,3,83.18
ruler_act,0,snow,4,81.48
ruler_act,0,snow,5,78.31
ruler_act,1,snow,1,88.04
ruler_act,1,snow,2,80.93
ruler_act,1,snow,3,82.84
ruler_act,1,snow,4,81.33
ruler_act,1,snow,5,78.25
ruler_act,2,snow,1,88.4
ruler_act,2,snow,2,81.54
ruler_act,2,snow,3,83.13
ruler_act,2,snow,4,81.36
ruler_act,2,snow,5,78.07
uniform,0,snow,1,87.2
uniform,0,snow,2,78.42
uniform,0,snow,3,80.76
uniform,0,snow,4,78.84
uniform,0,snow,5,74.18
uniform,1,snow,1,87.07
uniform,1,snow,2,78.64
uniform,1,snow,3,80.95
uniform,1,snow,4,79.2
uniform,1,snow,5,75.4
uniform,2,snow,1,87.33
uniform,2,snow,2,78.45
uniform,2,snow,3,80.66
uniform,2,snow,4,78.72
uniform,2,snow,5,74.65
ruler95,0,snow,1,84.55
ruler95,0,snow,2,74.5
ruler95,0,snow,3,77.34
ruler95,0,snow,4,75.99
ruler95,0,snow,5,71.63
ruler95,1,snow,1,85.4
ruler95,1,snow,2,75.68
ruler95,1,snow,3,79.05
ruler95,1,snow,4,77.22
ruler95,1,snow,5,73.52
ruler95,2,snow,1,85.1
ruler95,2,snow,2,74.87
ruler95,2,snow,3,78.38
ruler95,2,snow,4,76.25
ruler95,2,snow,5,71.67
full,0,frost,1,90.68
full,0,frost,2,85.78
full,0,frost,3,77.4
full,0,frost,4,75.97
full,0,frost,5,65.31
full,1,frost,1,90.66
full,1,frost,2,85.82
full,1,frost,3,77.01
full,1,frost,4,75.25
full,1,frost,5,64.45
full,2,frost,1,90.53
full,2,frost,2,85.81
full,2,frost,3,77.69
full,2,frost,4,76.41
full,2,frost,5,65.96
ruler,0,frost,1,90.98
ruler,0,frost,2,86.13
ruler,0,frost,3,78.85
ruler,0,frost,4,77.62
ruler,0,frost,5,68.06
ruler,1,frost,1,90.6
ruler,1,frost,2,85.95
ruler,1,frost,3,78.34
ruler,1,frost,4,76.49
ruler,1,frost,5,65.93
ruler,2,frost,1,90.68
ruler,2,frost,2,86.14
ruler,2,frost,3,77.71
ruler,2,frost,4,75.48
ruler,2,frost,5,65.02
ruler_act,0,frost,1,90.88
ruler_act,0,frost,2,86.93
ruler_act,0,frost,3,79.03
ruler_act,0,frost,4,77.7
ruler_act,0,frost,5,67.46
ruler_act,1,frost,1,90.75
ruler_act,1,frost,2,86.55
ruler_act,1,frost,3,78.23
ruler_act,1,frost,4,76.7
ruler_act,1,frost,5,66.33
ruler_act,2,frost,1,90.67
ruler_act,2,frost,2,85.81
ruler_act,2,frost,3,78.04
ruler_act,2,frost,4,76.99
ruler_act,2,frost,5,66.6
uniform,0,frost,1,89.3
uniform,0,frost,2,83.94
uniform,0,frost,3,75.42
uniform,0,frost,4,73.75
uniform,0,frost,5,63.13
uniform,1,frost,1,89.3
uniform,1,frost,2,84.34
uniform,1,frost,3,74.82
uniform,1,frost,4,72.74
uniform,1,frost,5,62.21
uniform,2,frost,1,89.14
uniform,2,frost,2,84.05
uniform,2,frost,3,74.4
uniform,2,frost,4,72.91
uniform,2,frost,5,61.76
ruler95,0,frost,1,87.38
ruler95,0,frost,2,81.46
ruler95,0,frost,3,70.85
ruler95,0,frost,4,68.65
ruler95,0,frost,5,56.49
ruler95,1,frost,1,87.95
ruler95,1,frost,2,82.82
ruler95,1,frost,3,72.6
ruler95,1,frost,4,70.49
ruler95,1,frost,5,58.7
ruler95,2,frost,1,87.09
ruler95,2,frost,2,81.0
ruler95,2,frost,3,71.01
ruler95,2,frost,4,69.08
ruler95,2,frost,5,58.14
full,0,fog,1,93.59
full,0,fog,2,91.99
full,0,fog,3,89.26
full,0,fog,4,85.43
full,0,fog,5,68.05
full,1,fog,1,93.41
full,1,fog,2,92.02
full,1,fog,3,89.49
full,1,fog,4,85.69
full,1,fog,5,68.7
full,2,fog,1,93.41
full,2,fog,2,91.81
full,2,fog,3,89.57
full,2,fog,4,85.57
full,2,fog,5,69.98
ruler,0,fog,1,93.32
ruler,0,fog,2,91.74
ruler,0,fog,3,89.32
ruler,0,fog,4,85.48
ruler,0,fog,5,70.45
ruler,1,fog,1,93.4
ruler,1,fog,2,91.96
ruler,1,fog,3,89.66
ruler,1,fog,4,85.15
ruler,1,fog,5,69.05
ruler,2,fog,1,93.34
ruler,2,fog,2,91.61
ruler,2,fog,3,89.03
ruler,2,fog,4,84.43
ruler,2,fog,5,68.35
ruler_act,0,fog,1,93.37
ruler_act,0,fog,2,92.01
ruler_act,0,fog,3,89.66
ruler_act,0,fog,4,85.19
ruler_act,0,fog,5,69.58
ruler_act,1,fog,1,93.52
ruler_act,1,fog,2,92.3
ruler_act,1,fog,3,89.87
ruler_act,1,fog,4,85.9
ruler_act,1,fog,5,70.56
ruler_act,2,fog,1,93.39
ruler_act,2,fog,2,92.17
ruler_act,2,fog,3,89.74
ruler_act,2,fog,4,85.66
ruler_act,2,fog,5,69.2
uniform,0,fog,1,92.75
uniform,0,fog,2,90.82
uniform,0,fog,3,87.82
uniform,0,fog,4,83.13
uniform,0,fog,5,66.98
uniform,1,fog,1,92.6
uniform,1,fog,2,91.03
uniform,1,fog,3,88.33
uniform,1,fog,4,83.48
uniform,1,fog,5,66.85
uniform,2,fog,1,92.95
uniform,2,fog,2,91.34
uniform,2,fog,3,87.8
uniform,2,fog,4,83.15
uniform,2,fog,5,66.53
ruler95,0,fog,1,91.06
ruler95,0,fog,2,88.86
ruler95,0,fog,3,85.7
ruler95,0,fog,4,80.6
ruler95,0,fog,5,64.11
ruler95,1,fog,1,91.43
ruler95,1,fog,2,89.19
ruler95,1,fog,3,85.89
ruler95,1,fog,4,80.35
ruler95,1,fog,5,63.68
ruler95,2,fog,1,90.77
ruler95,2,fog,2,88.68
ruler95,2,fog,3,85.78
ruler95,2,fog,4,80.37
ruler95,2,fog,5,62.04
full,0,brightness,1,93.76
full,0,brightness,2,93.26
full,0,brightness,3,92.79
full,0,brightness,4,92.13
full,0,brightness,5,89.59
full,1,brightness,1,93.76
full,1,brightness,2,93.52
full,1,brightness,3,92.92
full,1,brightness,4,92.26
full,1,brightness,5,89.71
full,2,brightness,1,93.8
full,2,brightness,2,93.52
full,2,brightness,3,92.77
full,2,brightness,4,92.0
full,2,brightness,5,90.01
ruler,0,brightness,1,93.66
ruler,0,brightness,2,93.17
ruler,0,brightness,3,92.65
ruler,0,brightness,4,92.02
ruler,0,brightness,5,89.39
ruler,1,brightness,1,93.34
ruler,1,brightness,2,93.15
ruler,1,brightness,3,92.5
ruler,1,brightness,4,91.89
ruler,1,brightness,5,89.86
ruler,2,brightness,1,93.63
ruler,2,brightness,2,93.27
ruler,2,brightness,3,92.69
ruler,2,brightness,4,92.11
ruler,2,brightness,5,89.65
